16,-8
-10,-7
6,-13
-11,-12
-12,-9
8,-19
-17,-13
2,-2
17,-16
-7,-18
-17,-6
-2,-9
2,-9
-5,-15
-13,-18
13,-5
-5,0
12,-12
-19,-18
-9,-16
-17,-5
20,-20
18,-13
18,-3
9,-11
8,-20
-5,-11
14,-14
-4,-8
3,-14
18,-2
16,-16
15,-2
-13,-12
-8,-19
10,-1
-8,-6
-6,-10
-4,-20
10,-14
8,-5
8,-1
7,-10
-2,-15
2,-5
15,-8
-5,-10
9,-15
-5,-19
13,-19
-17,-3
12,-1
8,-5
2,0
-11,-17
-5,-17
8,-16
-20,-18
-14,-18
3,-18
-20,-2
10,-1
-17,-6
-19,0
11,-3
-2,-15
4,-3
20,-16
-18,-4
-18,-18
19,-3
15,-19
-17,-3
-18,-15
2,-15
13,-19
-12,-2
17,-12
3,-18
16,-16
5,-20
-3,-4
-9,-6
15,-8
-13,-5
20,-14
17,-17
12,-5
-1,0
0,-18
-5,-19
-2,-8
-8,-14
-18,-8
-9,-3
-4,-9
9,-19
-1,-6
-15,-11
